Model,Phase,AUC_ROC,TrainingAccuracy,TestingAccuracy,Recall,Precision,F1_Score,FalsePositives,FalseNegatives
LogisticRegression,MinMaxAll,0.9349427168576104,0.9540229885057471,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
SVC,MinMaxAll,0.9349427168576104,0.9436781609195403,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
LogisticRegression,MinMax,0.9349427168576104,0.9540229885057471,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
SVC,MinMax,0.9349427168576104,0.9436781609195403,0.945273631840796,0.9230769230769231,0.5454545454545454,0.6857142857142856,10,1
LogisticRegression,unscaled,0.896481178396072,0.9597701149425287,0.9402985074626866,0.8461538461538461,0.5238095238095238,0.6470588235294118,10,2
LogisticRegression,ZscoreAll,0.896481178396072,0.9689655172413794,0.9402985074626866,0.8461538461538461,0.5238095238095238,0.6470588235294118,10,2
LogisticRegression,Zscore,0.8938216039279869,0.967816091954023,0.9353233830845771,0.8461538461538461,0.5,0.6285714285714286,11,2
XGBClassifier,unscaled,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,MinMaxAll,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,ZscoreAll,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,MinMax,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
XGBClassifier,Zscore,0.8633387888707038,0.9919540229885058,0.945273631840796,0.7692307692307693,0.5555555555555556,0.6451612903225806,8,3
BernoulliNB,ZscoreAll,0.8500409165302781,0.8988505747126436,0.9203980099502488,0.7692307692307693,0.43478260869565216,0.5555555555555555,13,3
BaggingClassifier,unscaled,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,unscaled,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,MinMaxAll,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,ZscoreAll,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,MinMax,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
GradientBoostingClassifier,Zscore,0.8275368248772504,0.9977011494252873,0.945273631840796,0.6923076923076923,0.5625,0.6206896551724138,7,4
RandomForestClassifier,MinMax,0.8248772504091654,0.9988505747126437,0.9402985074626866,0.6923076923076923,0.5294117647058824,0.5999999999999999,8,4
BaggingClassifier,MinMax,0.8222176759410802,0.9977011494252873,0.9353233830845771,0.6923076923076923,0.5,0.5806451612903226,9,4
BernoulliNB,unscaled,0.819558101472995,0.9528735632183908,0.9303482587064676,0.6923076923076923,0.47368421052631576,0.5625,10,4
DecisionTreeClassifier,ZscoreAll,0.8142389525368249,1.0,0.9203980099502488,0.6923076923076923,0.42857142857142855,0.5294117647058824,12,4
BernoulliNB,Zscore,0.8142389525368249,0.9287356321839081,0.9203980099502488,0.6923076923076923,0.42857142857142855,0.5294117647058824,12,4
AdaBoostClassifier,unscaled,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,MinMaxAll,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,ZscoreAll,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,MinMax,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
AdaBoostClassifier,Zscore,0.7890752864157119,0.9942528735632183,0.9402985074626866,0.6153846153846154,0.5333333333333333,0.5714285714285715,7,5
LGBMClassifier,unscaled,0.7864157119476268,1.0,0.9353233830845771,0.6153846153846154,0.5,0.5517241379310345,8,5
LGBMClassifier,MinMaxAll,0.7864157119476268,1.0,0.9353233830845771,0.6153846153846154,0.5,0.5517241379310345,8,5
LGBMClassifier,ZscoreAll,0.7864157119476268,1.0,0.9353233830845771,0.6153846153846154,0.5,0.5517241379310345,8,5
LGBMClassifier,MinMax,0.7864157119476268,1.0,0.9353233830845771,0.6153846153846154,0.5,0.5517241379310345,8,5
RandomForestClassifier,Zscore,0.7864157119476268,1.0,0.9353233830845771,0.6153846153846154,0.5,0.5517241379310345,8,5
LGBMClassifier,Zscore,0.7864157119476268,1.0,0.9353233830845771,0.6153846153846154,0.5,0.5517241379310345,8,5
HistGradientBoostingClassifier,unscaled,0.7837561374795418,1.0,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
HistGradientBoostingClassifier,MinMaxAll,0.7837561374795418,1.0,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
BaggingClassifier,ZscoreAll,0.7837561374795418,0.996551724137931,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
HistGradientBoostingClassifier,ZscoreAll,0.7837561374795418,1.0,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
HistGradientBoostingClassifier,MinMax,0.7837561374795418,1.0,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
HistGradientBoostingClassifier,Zscore,0.7837561374795418,1.0,0.9303482587064676,0.6153846153846154,0.47058823529411764,0.5333333333333333,9,5
DecisionTreeClassifier,MinMaxAll,0.7784369885433715,1.0,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
KNeighborsClassifier,MinMaxAll,0.7784369885433715,0.9804597701149426,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
DecisionTreeClassifier,MinMax,0.7784369885433715,1.0,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
KNeighborsClassifier,MinMax,0.7784369885433715,0.9804597701149426,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
DecisionTreeClassifier,Zscore,0.7784369885433715,1.0,0.9203980099502488,0.6153846153846154,0.42105263157894735,0.5,11,5
BernoulliNB,MinMaxAll,0.7452945990180032,0.9540229885057471,0.9253731343283582,0.5384615384615384,0.4375,0.4827586206896552,9,6
BernoulliNB,MinMax,0.7452945990180032,0.9540229885057471,0.9253731343283582,0.5384615384615384,0.4375,0.4827586206896552,9,6
BaggingClassifier,Zscore,0.7452945990180032,0.9977011494252873,0.9253731343283582,0.5384615384615384,0.4375,0.4827586206896552,9,6
BaggingClassifier,MinMaxAll,0.7426350245499181,0.9977011494252873,0.9203980099502488,0.5384615384615384,0.4117647058823529,0.4666666666666667,10,6
DecisionTreeClassifier,unscaled,0.739975450081833,1.0,0.9154228855721394,0.5384615384615384,0.3888888888888889,0.45161290322580644,11,6
RandomForestClassifier,ZscoreAll,0.712152209492635,0.9988505747126437,0.9303482587064676,0.46153846153846156,0.46153846153846156,0.46153846153846156,7,7
RandomForestClassifier,unscaled,0.7094926350245501,0.9977011494252873,0.9253731343283582,0.46153846153846156,0.42857142857142855,0.4444444444444445,8,7
RandomForestClassifier,MinMaxAll,0.7094926350245501,0.9988505747126437,0.9253731343283582,0.46153846153846156,0.42857142857142855,0.4444444444444445,8,7
SVC,ZscoreAll,0.6683715220949263,0.9735632183908046,0.9154228855721394,0.38461538461538464,0.35714285714285715,0.3703703703703704,9,8
SVC,Zscore,0.6630523731587561,0.9712643678160919,0.9054726368159204,0.38461538461538464,0.3125,0.3448275862068966,11,8
SVC,unscaled,0.6272504091653027,0.9724137931034482,0.9054726368159204,0.3076923076923077,0.2857142857142857,0.29629629629629634,10,9
KNeighborsClassifier,ZscoreAll,0.608633387888707,0.9701149425287356,0.8706467661691543,0.3076923076923077,0.19047619047619047,0.23529411764705882,17,9
KNeighborsClassifier,Zscore,0.6018821603927987,0.9551724137931035,0.7910447761194029,0.38461538461538464,0.1282051282051282,0.19230769230769232,34,8
KNeighborsClassifier,unscaled,0.5368248772504092,0.9080459770114943,0.736318407960199,0.3076923076923077,0.08333333333333333,0.13114754098360656,44,9
GaussianNB,unscaled,0.4695171849427169,0.542528735632184,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
GaussianNB,MinMaxAll,0.4695171849427169,0.539080459770115,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
GaussianNB,MinMax,0.4695171849427169,0.539080459770115,0.07462686567164178,0.9230769230769231,0.06091370558375635,0.1142857142857143,185,1
GaussianNB,ZscoreAll,0.46685761047463176,0.5379310344827586,0.06965174129353234,0.9230769230769231,0.06060606060606061,0.1137440758293839,186,1
GaussianNB,Zscore,0.46685761047463176,0.5379310344827586,0.06965174129353234,0.9230769230769231,0.06060606060606061,0.1137440758293839,186,1
